CODE,DESCRIPTION,SOURCE,EWP,MDP,SDP,NRP_2025,MRP_2025,NRP_JAN2026,MRP_JAN2026,NRP_JULY2026,MRP_JULY2026
AAD-WHT-ACC00B7X,MOULD FOR ANDROS 100X100,FITTINGS,847.45,847.45,847.45,1000,1000,1000,1000,1000.00,1000.00
AAL-CHR-40506X,TOWEL HOLDER 600mm,FITTINGS,7627.11,7627.11,7627.11,9000,9000,9000,9000,9000.00,9000.00
AAL-CHR-40518X,GLASS TOOTH BRUSH HOLDER,FITTINGS,4100.00,4100.00,4100.00,,,,,4100.00,4100.00
AAL-CHR-40519X,LOTION DISPENSER,FITTINGS,8983.05,8983.05,8983.05,10600,10600,10600,10600,10600.00,10600.00
AAL-CHR-40520X,TWIN TOWEL HOLDER,FITTINGS,6694.91,6694.91,6694.91,7900,7900,7900,7900,7900.00,7900.00
AAL-CHR-40521X,TOWEL RING,FITTINGS,4322.03,4322.03,4322.03,5100,5100,5100,5100,5100.00,5100.00
AAL-CHR-40528X,HOLDER FOR SPARE ROLL,FITTINGS,4900.00,4900.00,4900.00,,,,,4900.00,4900.00
AAL-CHR-40530X,GRAB BAR 300 mm,FITTINGS,7118.64,7118.64,7118.64,8400,8400,8400,8400,8400.00,8400.00
AAL-CHR-40531X,DOUBLE HOOK,FITTINGS,2288.13,2288.13,2288.13,2700,2700,2700,2700,2700.00,2700.00
AAL-CHR-40533X,SOAP DISH,FITTINGS,6525.42,6525.42,6525.42,7700,7700,7700,7700,7700.00,7700.00
AAL-CHR-40534X,TOOTH BRUSH HOLDER,FITTINGS,6610.16,6610.16,6610.16,7800,7800,7800,7800,7800.00,7800.00
AAL-CHR-40535X,TOILET BRUSH HOLDER WITH BRUSH,FITTINGS,8800.00,8800.00,8800.00,,,,,8800.00,8800.00
AAL-CHR-40550X,GLASS SHELF 700 mm WTH WALL SUP,FITTINGS,16600.00,16600.00,16600.00,,,,,16600.00,16600.00
AAL-STC-40519X,LOTION DISPENSER,FITTINGS,9830.50,9830.50,9830.50,11600,11600,11600,11600,11600.00,11600.00
AAP-WHT-ACC00Z30X,SEAT FOR ANTHROPOS IN SOLID SURFACE &,FITTINGS,20975.00,23395.00,23395.00,35000,35000,35000,35000,35000.00,35000.00
AAP-WHT-ACC00Z6X,MOULD FOR SHOWERTRAY,FITTINGS,847.46,847.46,847.46,1000,1000,1000,1000,1000.00,1000.00
AAR-ALU-CTSUPKITXX,COLT SUSPENSION KIT FOR 48V LOW VOLTAGE,LIGHTING,399.00,499.00,499.00,,,,,724.00,899.00
AAR-BLK-CLCI05W08WHCL,"CELEST DOWNLIGHT 8W, CIELO DOWNLIGHT",LIGHTING,300.00,370.00,370.00,,,,,550.00,700.00
AAR-BLK-CLXX12W15WHCL,CELEST DOWNLIGHT 12W/15W HONEYCOMB,LIGHTING,300.00,370.00,370.00,,,,,550.00,700.00
AAR-BLK-CLXX20W25WHCL,CELEST DOWNLIGHT 20W/25W HONEYCOMB,LIGHTING,300.00,370.00,370.00,,,,,550.00,700.00
AAR-BLK-CLXX30WXXXHCL,CELEST DOWNLIGHT 30W HONEYCOMB,LIGHTING,300.00,370.00,370.00,,,,,550.00,700.00
AAR-BLK-CTFLEXBLCONN,COLT TRACK FLEXIBLE CONNECTOR,LIGHTING,2799.00,3449.00,3449.00,,,5099.00,6499.00,5099.00,6499.00
AAR-BLK-CTHANGWIREEZ,COLT TRACK EZCLICK SUSPENSION KIT,LIGHTING,1399.00,1729.00,1729.00,,,2549.00,3199.00,2549.00,3199.00
AAR-BLK-CTHANGWIREEZ3M,COLT TRACK 3 MTR EZCLICK SUSPENSION KIT,LIGHTING,1399.00,1729.00,1729.00,,,2549.00,3199.00,2549.00,3199.00
